ticker,name,year,esg,e,s,g,sector,industry
APD,AIR PRDS.& CHEMS.,2022,86.65,50.0,87.1,48.92,Basic Materials,Specialty Chemicals
APD,AIR PRDS.& CHEMS.,2023,85.21,50.0,80.61,54.77,Basic Materials,Specialty Chemicals
APD,AIR PRDS.& CHEMS.,2024,84.48,50.0,78.82,56.37,Basic Materials,Specialty Chemicals
APH,AMPHENOL 'A',2020,77.59,60.19,88.99,54.77,Technology,Electronic Components
APH,AMPHENOL 'A',2021,71.22,63.44,91.68,55.09,Technology,Electronic Components
APH,AMPHENOL 'A',2022,76.54,66.17,90.72,49.85,Technology,Electronic Components
APH,AMPHENOL 'A',2023,68.03,85.35,89.29,66.13,Technology,Electronic Components
APH,AMPHENOL 'A',2024,66.56,78.72,88.67,57.86,Technology,Electronic Components
APO,APOLLO GLOBAL MANAGEMENT,2020,50.2,45.27,46.1,77.64,Financial Services,Asset Management
APO,APOLLO GLOBAL MANAGEMENT,2021,52.57,49.51,44.86,79.21,Financial Services,Asset Management
APO,APOLLO GLOBAL MANAGEMENT,2022,50.61,44.82,45.42,81.72,Financial Services,Asset Management
APO,APOLLO GLOBAL MANAGEMENT,2023,54.17,42.92,45.32,81.34,Financial Services,Asset Management
APO,APOLLO GLOBAL MANAGEMENT,2024,62.24,51.96,41.49,81.7,Financial Services,Asset Management
APP,APPLOVIN A,2020,28.62,67.01,53.47,79.46,Communication Services,Advertising Agencies
APP,APPLOVIN A,2021,22.31,64.08,57.59,77.24,Communication Services,Advertising Agencies
APP,APPLOVIN A,2022,23.58,55.09,60.21,77.09,Communication Services,Advertising Agencies
APP,APPLOVIN A,2023,30.96,64.93,58.79,78.5,Communication Services,Advertising Agencies
APP,APPLOVIN A,2024,30.42,62.45,57.33,81.14,Communication Services,Advertising Agencies
APTV,APTIV,2020,65.57,84.47,31.12,85.52,Consumer Cyclical,Auto Parts
APTV,APTIV,2021,63.17,87.78,39.96,81.42,Consumer Cyclical,Auto Parts
APTV,APTIV,2022,80.63,86.68,35.4,79.1,Consumer Cyclical,Auto Parts
APTV,APTIV,2023,40.78,79.29,36.7,81.4,Consumer Cyclical,Auto Parts
APTV,APTIV,2024,37.02,73.84,42.82,79.9,Consumer Cyclical,Auto Parts
ARE,ALEXANDRIA REAL ESTATE EQUITIES REIT,2020,77.07,65.88,38.76,66.3,Real Estate,REIT - Office
ARE,ALEXANDRIA REAL ESTATE EQUITIES REIT,2021,76.92,70.13,39.59,75.05,Real Estate,REIT - Office
ARE,ALEXANDRIA REAL ESTATE EQUITIES REIT,2022,78.87,71.05,44.66,73.93,Real Estate,REIT - Office
ARE,ALEXANDRIA REAL ESTATE EQUITIES REIT,2023,78.88,68.97,50.93,76.77,Real Estate,REIT - Office
ARE,ALEXANDRIA REAL ESTATE EQUITIES REIT,2024,78.29,68.2,51.32,76.99,Real Estate,REIT - Office
ATO,ATMOS ENERGY,2020,80.79,73.76,92.49,56.67,Utilities,Utilities - Regulated Gas
ATO,ATMOS ENERGY,2021,78.98,71.91,91.37,33.82,Utilities,Utilities - Regulated Gas
ATO,ATMOS ENERGY,2022,71.03,72.67,93.93,75.92,Utilities,Utilities - Regulated Gas
ATO,ATMOS ENERGY,2023,66.96,74.13,90.23,73.86,Utilities,Utilities - Regulated Gas
ATO,ATMOS ENERGY,2024,64.11,73.07,79.4,74.12,Utilities,Utilities - Regulated Gas
AVB,AVALONBAY COMMNS.,2020,77.96,76.79,71.1,34.78,Real Estate,REIT - Residential
AVB,AVALONBAY COMMNS.,2021,77.39,75.76,59.64,44.93,Real Estate,REIT - Residential
AVB,AVALONBAY COMMNS.,2022,72.8,72.27,52.67,60.62,Real Estate,REIT - Residential
AVB,AVALONBAY COMMNS.,2023,73.21,66.45,61.21,57.0,Real Estate,REIT - Residential
AVB,AVALONBAY COMMNS.,2024,71.01,68.81,61.01,55.03,Real Estate,REIT - Residential
AVGO,BROADCOM,2020,83.42,71.65,66.19,58.43,Technology,Semiconductors
AVGO,BROADCOM,2021,82.89,66.61,66.67,64.08,Technology,Semiconductors
AVGO,BROADCOM,2022,81.32,66.58,66.55,62.91,Technology,Semiconductors
AVGO,BROADCOM,2023,79.4,57.5,61.69,58.56,Technology,Semiconductors
AVGO,BROADCOM,2024,78.11,55.4,60.68,55.94,Technology,Semiconductors
